movie_id,primary_title,start_year,runtime_minutes
tt0035423,Kate & Leopold,2001,118
tt0062336,The Tango of the Widower and Its Distorting Mirror,2020,70
tt0069049,The Other Side of the Wind,2018,122
tt0082328,Embodiment of Evil,2008,94
tt0088751,The Naked Monster,2005,100
tt0096056,Crime and Punishment,2002,126
tt0100275,The Wandering Soap Opera,2017,80
tt0103340,Life for Life: Maximilian Kolbe,2006,90
tt0108549,West from North Goes South,2004,96
tt0113026,The Fantasticks,2000,86
tt0113092,For the Cause,2000,100
tt0114447,The Silent Force,2001,90
tt0115937,Consequence,2000,91
tt0116391,Gang,2000,167
tt0116628,The Incorporated,2000,86
tt0117163,Neon Signs,2002,86
tt0117743,Still Waters Burn,2008,83
tt0118141,What Is It?,2005,72
tt0118589,Glitter,2001,104
tt0118652,The Attic Expeditions,2001,100
tt0118694,In the Mood for Love,2000,98
tt0118710,Beyond the Pale,2000,96
tt0118852,Chinese Coffee,2000,99
tt0118926,The Dancer Upstairs,2002,132
tt0119004,Don's Plum,2001,89
tt0119231,The Junior Defenders,2007,83
tt0119273,Heavy Metal 2000,2000,88
tt0119495,Love 101,2000,86
tt0119806,Nothing Sacred,2000,98
tt0119966,Pushing the Envelope,2000,75
tt0119970,My Apocalypse,2008,82
tt0119980,Random Shooting in L.A.,2002,91
tt0120166,The Sorcerer's Apprentice,2001,86
tt0120202,State and Main,2000,105
tt0120263,Songs from the Second Floor,2000,98
tt0120467,Vulgar,2000,87
tt0120607,Between the Sheets,2003,102
tt0120624,Camarate,2001,100
tt0120626,April Captains,2000,123
tt0120630,Chicken Run,2000,84
tt0120667,Fantastic Four,2005,106
tt0120673,Foiled,2000,78
tt0120679,Frida,2002,123
tt0120681,From Hell,2001,122
tt0120698,The Highwayman,2000,94
tt0120733,Lion of Oz,2000,74
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178
tt0120753,The Million Dollar Hotel,2000,122
tt0120755,Mission: Impossible II,2000,123
tt0120804,Resident Evil,2002,100
tt0120807,Ricochet River,2001,112
tt0120824,The Shipping News,2001,111
tt0120903,X-Men,2000,104
tt0120912,Men in Black II,2002,88
tt0120913,Titan A.E.,2000,94
tt0120917,The Emperor's New Groove,2000,78
tt0121164,Corpse Bride,2005,77
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,142
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,140
tt0122161,Lured Innocence,2000,99
tt0122247,Serial Killing 4 Dummys,2004,89
tt0122459,Return to Me,2000,115
tt0123003,Bruno,2000,108
tt0123055,The Elf Who Didn't Believe,2000,90
tt0123581,Burning Down the House,2001,84
tt0124889,Sticks,2001,92
tt0125022,Heartbreakers,2001,123
tt0126029,Shrek,2001,90
tt0126899,Eyes Are Upon You,2001,92
tt0127349,Waking the Dead,2000,105
tt0128158,Deadfall,2000,86
tt0128165,Blazin',2001,100
tt0128216,Flophouse,2002,75
tt0130623,Dinosaur,2000,82
tt0131597,Split,2004,700
tt0131704,The Adventures of Rocky & Bullwinkle,2000,92
tt0132078,Dead by Monday,2001,94
tt0132245,Driven,2001,116
tt0132885,BlackMale,2000,90
tt0132910,The Crow: Salvation,2000,102
tt0133063,Lightmaker,2001,89
tt0133152,Planet of the Apes,2001,120
tt0133240,Treasure Planet,2002,95
tt0133752,Fallen Arches,2000,100
tt0134084,Scream 3,2000,116
tt0134630,Duets,2000,112
tt0134847,Pitch Black,2000,109
tt0134983,Supernova,2000,90
tt0135707,Wind River,2000,97
tt0135991,Dominator,2003,100
tt0136517,Seven Days of Grace,2006,88
tt0137204,Joe Finds Grace,2017,83
tt0137698,The Girl from China,2000,73
tt0138288,All Saints Day,2000,82
tt0138353,Cement,2000,97
tt0138524,Intolerable Cruelty,2003,100
tt0138583,Love... at Your Disposal,2000,77
tt0138749,The Road to El Dorado,2000,89
tt0138818,The Hiding Place,2000,97
tt0138856,Tales from the Tower,2001,45
tt0138927,Waterproof,2000,95
tt0138946,The Yards,2000,115
tt0139159,Dog Story,2000,81
tt0139297,Gwen's Tit Torment,2002,58
tt0139388,It Had to Be You,2000,96
tt0139500,In Vanda's Room,2000,171
tt0139654,Training Day,2001,122
tt0140806,American Reel,2003,100
tt0141120,The Ghost,2001,86
